Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Exp_Time,Exp_Current,Exp_Voltage,Exp_Temperature,Exp_Cell_Type
33.0,2226.38,847.2030000002123,4.045,3.377,5090.360000000102,6070.36,9149.66,1080,31.0,-19.969783,3.2098353,26.212597,Fresh
34.0,2223.88,844.7970000002533,4.045,3.378,5090.312000000151,6063.3,9133.25,1079,32.0,-19.991846,3.2137926,26.220226,Fresh
35.0,2222.62,840.0,4.045,3.379,5083.3589999999385,6056.36,9112.39,1078,33.0,-19.976572,3.2180502,26.155352,Fresh
36.0,2221.02,842.405999999959,4.046,3.378,5076.2660000000615,6049.28,9112.14,1077,34.0,-19.935844,3.2218571,26.056099,Fresh
37.0,2220.19,840.0,4.046,3.378,5076.344000000274,6049.38,9136.16,1076,35.0000076293945,-19.94942,3.2260144,26.182055,Fresh
38.0,2218.41,837.594000000041,4.046,3.393,5069.313000000082,6042.31,9101.06,1075,35.9999923706055,-19.935844,3.2295208,26.075195,Fresh
39.0,2216.89,835.2029999997467,4.046,3.379,5062.375,6035.36,9112.24,1074,37.0,-20.025783,3.2331274,26.26605,Fresh
40.0,2214.97,825.594000000041,4.025,3.604,5026.311999999685,5999.0,9212.78,1073,38.0,-19.974873,3.2367837,26.098083,Fresh
41.0,2219.75,828.0,4.041,3.686,5020.311999999685,6000.31,9174.41,1072,39.0,-19.969783,3.2400899,26.07901,Fresh
42.0,2222.5,835.1880000003148,4.045,3.382,5058.797000000253,6035.28,9125.16,1071,40.0,-19.906996,3.2436461,26.094269,Fresh
43.0,2220.53,832.8130000003148,4.045,3.379,5069.375,6049.38,9155.72,1070,41.0,-19.939238,3.2472527,26.113367,Fresh
44.0,2217.28,830.4070000003558,4.045,3.379,5062.375,6035.38,9115.94,1069,41.9999923706055,-19.917178,3.2506588,25.979757,Fresh
45.0,2214.66,828.0,4.045,3.381,5048.342999999644,6028.34,9122.81,1068,43.0,-19.951117,3.2539649,26.063751,Fresh
46.0,2211.25,828.0,4.044,3.381,5041.25,6021.25,9074.06,1067,44.0000076293945,-19.947725,3.25687,26.155352,Fresh
47.0,2210.59,828.0,4.045,3.381,5034.375,6014.38,9118.03,1066,45.0,-19.932451,3.2603762,25.964499,Fresh
48.0,2208.56,825.594000000041,4.045,3.382,5030.7339999999385,6007.22,9098.56,1065,46.0,-19.940936,3.2633817,26.033211,Fresh
49.0,2206.88,823.219000000041,4.045,3.382,5027.280999999959,6000.25,9091.78,1064,47.0,-19.951117,3.2668381,26.14007,Fresh
50.0,2203.19,820.8119999996852,4.045,3.383,5020.375,5993.38,9083.59,1063,48.0,-19.97827,3.2697432,26.056099,Fresh
51.0,2202.53,820.7820000003558,4.045,3.384,5013.375,5986.38,9089.47,1062,49.0,-19.912086,3.2727988,26.17061,Fresh
52.0,2200.34,816.0,4.044,3.386,5006.344000000041,5979.34,9089.41,1061,50.0000076293945,-20.003723,3.2754035,26.239323,Fresh
53.0,2198.19,816.0,4.044,3.385,4999.219000000041,5972.22,9067.53,1060,50.9999923706055,-19.942631,3.2785089,25.991224,Fresh
54.0,2197.0,813.5929999996442,4.044,3.387,4992.25,5965.25,9074.62,1059,52.0,-19.951117,3.2809634,26.27368,Fresh
55.0,2195.94,813.5929999996442,4.044,3.387,4988.859500000253,5965.38,9079.66,1058,53.0,-19.944328,3.284019,26.006483,Fresh
56.0,2194.12,811.2190000002738,4.044,3.387,4985.344000000041,5958.34,9049.97,1057,54.0,-19.968086,3.286824,26.120996,Fresh
57.0,2192.56,813.594000000041,4.044,3.388,4978.280999999726,5958.28,9049.44,1056,55.0,-19.959602,3.289629,26.17824,Fresh
58.0,2190.75,811.2179999996442,4.044,3.387,4978.313000000315,5951.31,9029.53,1055,56.0,-19.95451,3.2919831,25.975943,Fresh
59.0,2189.5,808.8130000003148,4.044,3.388,4971.375,5944.38,9049.91,1054,57.0,-19.95451,3.2949886,26.014112,Fresh
60.0,2188.19,806.4369999996852,4.044,3.389,4964.313000000315,5937.31,9059.31,1053,58.0,-19.935844,3.2974432,25.861429,Fresh
61.0,2186.25,806.4380000003148,4.043,3.391,4960.843499999959,5937.38,9027.75,1052,59.0000076293945,-19.990146,3.300148,26.101898,Fresh
62.0,2185.56,806.375,4.043,3.39,4957.375,5930.38,9015.12,1051,60.0,-19.910389,3.3028529,25.968313,Fresh
63.0,2185.12,806.4380000003148,4.043,3.39,4957.375,5930.38,9051.06,1050,61.0,-20.00542,3.3051069,25.995039,Fresh
64.0,2179.06,789.5619999996852,4.022,3.625,4921.375,5894.0,9069.94,1049,62.0,-19.947725,3.308012,25.983572,Fresh
65.0,206007.26,-64192.716000019806,4.271,3.166,72809.98200000008,84474.65,84474.65,1048,63.0,-19.97827,3.3105166,25.960684,Fresh
66.0,2182.56,793.1999999999534,4.004,3.381,5213.9199999999255,6200.32,9459.46,1047,64.0,-19.95451,3.3129711,25.995039,Fresh
67.0,2182.62,798.0,4.007,3.395,4969.152000000002,5912.35,9114.85,1046,65.0,-19.903602,3.3152251,26.059914,Fresh
68.0,2180.13,797.6000000000931,4.007,3.394,4969.178400000092,5912.35,9093.92,1045,65.9999923706055,-19.964693,3.31793,25.995039,Fresh
69.0,2177.34,795.0,4.008,3.394,4961.920000000158,5912.32,9058.18,1044,67.0,-19.974873,3.319633,25.972128,Fresh
70.0,2175.17,795.0,4.007,3.395,4954.782999999821,5912.38,9064.41,1043,68.0,-19.929055,3.3223379,25.941586,Fresh
71.0,2173.44,793.0,4.008,3.398,4947.551000000443,5912.35,9080.74,1042,69.0,-19.969783,3.3245418,26.071381,Fresh
72.0,2170.56,789.6000000000931,4.008,3.397,4940.320000000298,5912.32,9060.73,1041,70.0,-19.92227,3.3271966,26.033211,Fresh
73.0,2168.26,789.6000000000931,4.008,3.399,4933.12099999981,5876.32,9048.26,1040,71.0,-19.918875,3.3293505,25.991224,Fresh
74.0,2165.54,788.0,4.008,3.399,4928.319999999832,5876.32,9027.49,1039,72.0,-20.003723,3.331805,26.216412,Fresh
75.0,2163.77,786.0,4.008,3.401,4918.790999999736,5876.39,9027.52,1038,73.0,-19.995238,3.3338587,26.04847,Fresh
76.0,2162.18,783.6000000000931,4.008,3.401,4916.321000000462,5876.32,9008.32,1037,74.0000076293945,-19.927359,3.3359122,25.930141,Fresh
77.0,2160.17,786.0,4.008,3.401,4911.550999999978,5876.35,9000.64,1036,74.9999923706055,-19.940936,3.3382165,25.891972,Fresh
78.0,2158.66,784.0,4.008,3.401,4910.359000000171,5876.36,9023.48,1035,76.0,-19.910389,3.3408713,25.830912,Fresh
79.0,2155.94,780.0,4.007,3.402,4904.328000000212,5876.33,8968.09,1034,77.0,-19.985057,3.3428247,25.937771,Fresh
80.0,2154.69,782.3999999999069,4.008,3.402,4897.158999999519,5840.36,8974.28,1033,78.0,-19.968086,3.3443775,26.010298,Fresh
81.0,2152.42,782.3999999999069,4.008,3.403,4889.913000000175,5840.31,8965.95,1032,79.0,-19.947725,3.346782,25.899601,Fresh
82.0,2151.42,782.3999999999069,4.008,3.405,4882.728000000119,5840.33,8962.08,1031,80.0,-19.940936,3.3493364,25.998854,Fresh
83.0,2149.92,778.3999999999069,4.008,3.403,4880.342999999877,5840.34,8958.81,1030,80.9999923706055,-19.998633,3.3513401,25.960684,Fresh
84.0,2148.48,778.3999999999069,4.008,3.404,4875.512999999803,5840.31,8930.36,1029,82.0,-19.917178,3.3530431,25.872898,Fresh
85.0,2147.39,776.3999999999069,4.008,3.404,4868.327999999747,5840.33,8962.02,1028,83.0000076293945,-20.018994,3.3553474,25.991224,Fresh
86.0,2145.83,777.0,4.008,3.405,4868.265999999829,5840.27,8942.92,1027,84.0,-19.959602,3.3570004,25.891972,Fresh
87.0,2144.58,775.0,4.008,3.404,4862.311999999918,5804.31,8963.16,1026,85.0,-19.951117,3.359555,26.04847,Fresh
88.0,2142.5,772.7999999998137,4.008,3.405,4856.327999999747,5804.33,8947.59,1025,86.0,-19.951117,3.3611076,25.876713,Fresh
89.0,2147.06,763.2180000003427,4.018,3.653,4816.311999999918,5788.97,9007.12,1024,87.0,-19.964693,3.3632615,26.014112,Fresh
90.0,2145.16,766.0,4.003,3.731,4808.344000000041,5768.34,9026.06,1023,88.0,-19.979967,3.3650649,25.914883,Fresh
91.0,2147.28,774.0,4.006,3.41,4853.944000000134,5804.34,8977.31,1022,89.0000076293945,-19.97827,3.3671186,25.808001,Fresh
92.0,2145.28,772.7999999998137,4.007,3.406,4861.143999999855,5804.34,8974.09,1021,89.9999923706055,-19.952814,3.3689718,25.888157,Fresh
93.0,2143.12,774.0,4.008,3.407,4853.943000000436,5804.34,8977.41,1020,91.0,-19.935844,3.3710256,25.808001,Fresh
94.0,2140.53,770.0,4.008,3.407,4846.743999999482,5804.34,8960.47,1019,92.0,-19.946027,3.3724782,25.907253,Fresh
95.0,2138.88,770.0,4.008,3.407,4839.513000000268,5804.31,8950.19,1018,93.0,-19.986754,3.3746321,25.960684,Fresh
96.0,2137.31,768.0,4.007,3.407,4838.375,5804.38,8971.72,1017,94.0,-19.983359,3.3765354,25.903416,Fresh
97.0,2135.19,769.2000000001863,4.007,3.408,4832.375,5804.38,8927.5,1016,95.0,-19.983359,3.3783889,25.933956,Fresh
98.0,2133.34,769.0,4.007,3.408,4825.143999999855,5768.34,8944.38,1015,96.0,-19.976572,3.3802421,25.81563,Fresh
99.0,2130.69,765.6000000000931,4.007,3.408,4817.944000000134,5768.34,8896.53,1014,97.0,-19.886633,3.3821456,25.708771,Fresh
100.0,2128.56,768.0,4.007,3.409,4810.743999999948,5768.34,8901.75,1013,98.0000076293945,-19.923965,3.3843496,25.94924,Fresh
101.0,2126.97,762.0,4.006,3.41,4803.513000000268,5768.31,8899.03,1012,99.0,-20.012209,3.3859525,25.865269,Fresh
102.0,2125.78,762.0,4.006,3.411,4796.313000000082,5768.31,8913.22,1011,100.0,-19.959602,3.3877056,25.785112,Fresh
103.0,2124.41,764.3999999999069,4.006,3.411,4796.375,5768.38,8916.5,1010,101.0,-19.934148,3.3891082,25.746941,Fresh
104.0,2122.03,762.3999999999069,4.005,3.411,4789.150199999567,5732.34,8875.09,1009,102.0,-19.934148,3.390661,25.773643,Fresh
105.0,2112.0,759.0,4.005,3.411,4781.943000000436,5732.34,8892.59,1008,103.0,-19.983359,3.3925643,25.640059,Fresh
106.0,2118.81,760.7999999998137,4.006,3.413,4774.743999999948,5732.34,8892.44,1007,104.0,-19.932451,3.394568,25.918697,Fresh
107.0,2117.62,756.7999999998137,4.006,3.412,4767.513000000268,5732.31,8905.44,1006,104.999992370605,-19.95451,3.3957701,25.834726,Fresh
108.0,2115.12,757.2000000001863,4.005,3.414,4766.375,5732.38,8854.25,1005,106.0,-19.964693,3.3978238,25.785112,Fresh
109.0,2114.31,755.2000000001863,4.006,3.414,4760.375,5732.38,8898.38,1004,107.0,-19.969783,3.3995268,25.926327,Fresh
110.0,2112.31,753.0,4.005,3.414,4753.174999999814,5696.38,8870.56,1003,108.0,-19.939238,3.40133,25.914883,Fresh
111.0,2111.19,753.0,4.005,3.414,4748.375,5696.38,8860.06,1002,109.0,-20.003723,3.4024823,25.94924,Fresh
112.0,2100.94,748.7999999998137,3.991,3.415,4745.975000000093,6147.88,8766.5,1001,110.0,-19.962996,3.4046361,25.743103,Fresh
113.0,2109.81,739.186999999918,4.014,3.674,4690.25,5656.0,8884.06,1000,111.0,-19.979967,3.4058883,25.781273,Fresh
115.0,2124.61,751.2000000001863,3.998,3.397,5066.256000000052,6056.26,9425.95,998,112.0,-19.97827,3.4079421,25.880527,Fresh
116.0,2124.16,752.0,3.999,3.415,4778.320999999996,5732.32,8951.84,997,113.000007629395,-19.918875,3.4095449,25.682043,Fresh
117.0,2121.79,751.9980000001378,4.0,3.415,4781.824000000488,5732.22,8950.82,996,113.999992370605,-19.925662,3.411298,25.643873,Fresh
118.0,2119.97,749.6000000000931,4.001,3.417,4772.351999999955,5732.35,8959.65,995,115.0,-19.969783,3.4127507,25.872898,Fresh
119.0,2117.7,747.6000000000931,4.001,3.417,4767.552000000142,5732.35,8965.47,994,116.0,-19.946027,3.4142034,25.720215,Fresh
120.0,2114.24,747.6000000000931,4.001,3.419,4760.351999999955,5696.35,8932.74,993,117.0,-19.94942,3.4159565,25.792742,Fresh
121.0,2111.11,744.0,4.001,3.419,4753.151999999303,5696.35,8918.18,992,118.0,-19.951117,3.4175093,25.830912,Fresh
122.0,2107.84,744.0,4.001,3.421,4742.319999999832,5696.32,8919.01,991,119.0,-20.010512,3.4189618,25.869083,Fresh
123.0,2105.28,740.0,4.001,3.421,4731.520000000019,5696.32,8897.66,990,119.999992370605,-19.988449,3.4203143,25.750755,Fresh
124.0,2102.91,738.0,4.001,3.422,4724.351999999955,5660.35,8913.22,989,121.0,-19.956207,3.4220173,25.624775,Fresh
125.0,2100.16,740.3999999999069,4.001,3.423,4717.121000000276,5660.32,8882.59,988,122.000007629395,-19.985057,3.4233699,25.659132,Fresh
126.0,2098.37,738.3999999999069,4.001,3.424,4709.9199999999255,5660.32,8886.08,987,123.0,-19.915482,3.425173,25.922512,Fresh
127.0,2095.59,734.3999999999069,4.001,3.425,4702.74300000025,5660.34,8857.02,986,124.0,-19.966391,3.4267259,25.781273,Fresh
128.0,2093.19,735.0,4.001,3.424,4695.589999999851,5660.39,8846.05,985,125.0,-19.929055,3.4278278,25.743103,Fresh
129.0,2091.2,736.7999999998137,4.001,3.425,4688.328000000212,5624.33,8845.25,984,126.0,-19.976572,3.4293807,25.735474,Fresh
130.0,2089.0,732.7999999998137,4.001,3.426,4681.049999999814,5624.25,8839.94,983,127.0,-19.962996,3.4309335,25.857615,Fresh
131.0,2086.91,732.0,4.001,3.427,4673.95900000073,5624.36,8834.91,982,128.000007629395,-19.946027,3.4321856,25.682043,Fresh
132.0,2084.55,731.2000000001863,4.001,3.426,4666.712999999989,5624.31,8807.3,981,128.999992370605,-19.962996,3.4337385,25.933956,Fresh
133.0,2083.19,731.2000000001863,4.001,3.427,4659.512000000104,5624.31,8812.31,980,130.0,-19.917178,3.4352412,25.609516,Fresh
134.0,2081.8,727.2000000001863,4.001,3.428,4652.312000000384,5588.31,8816.34,979,131.0,-19.959602,3.4368942,25.666784,Fresh
135.0,2079.97,727.2000000001863,4.001,3.427,4652.281000000425,5588.28,8807.45,978,132.0,-19.915482,3.4383469,25.640059,Fresh
136.0,2078.72,727.2000000001863,4.001,3.428,4645.191000000108,5588.39,8820.2,977,133.0,-19.937541,3.4394989,25.678228,Fresh
137.0,2076.91,729.6000000000931,4.001,3.427,4640.359000000637,5588.36,8797.52,976,134.0,-19.986754,3.4411018,25.762199,Fresh
138.0,2078.66,717.5930000003427,4.01,3.68,4592.375,5558.0,8897.53,975,135.0,-19.974873,3.4427047,25.575161,Fresh
139.0,2077.22,717.6000000000931,3.996,3.76,4574.344000000507,5516.34,8858.62,974,136.0,-19.932451,3.4437566,25.666784,Fresh
140.0,2080.69,725.6000000000931,3.999,3.433,4634.343999999575,5588.34,8807.22,973,137.000007629395,-19.929055,3.4453595,25.827097,Fresh
141.0,2079.28,725.6000000000931,4.0,3.429,4645.143999999389,5588.34,8828.72,972,137.999992370605,-19.957904,3.4467618,25.575161,Fresh
142.0,2076.56,723.6000000000931,4.0,3.429,4637.913000000175,5588.31,8812.88,971,139.0,-19.920572,3.4480143,25.598072,Fresh
143.0,2074.47,726.0,4.0,3.429,4630.74300000025,5588.34,8809.44,970,140.0,-19.969783,3.4492164,25.911068,Fresh
144.0,2071.62,720.0,4.0,3.431,4623.606000000611,5588.41,8778.0,969,141.0,-19.95451,3.4506691,25.739288,Fresh
145.0,2070.34,722.4062000000849,3.999,3.43,4616.311999999918,5552.31,8808.19,968,142.0,-20.000328,3.4518211,25.941586,Fresh
146.0,2069.03,722.3999999999069,4.0,3.43,4609.14400000032,5552.34,8804.88,967,143.0,-19.917178,3.4532735,25.594257,Fresh
147.0,2067.62,722.3938000001945,4.0,3.431,4604.313000000082,5552.31,8805.75,966,143.999992370605,-19.94942,3.454576,25.701117,Fresh
148.0,2065.16,720.7999999998137,3.999,3.43,4601.913000000175,5552.31,8784.09,965,145.0,-19.971482,3.4561288,25.590443,Fresh
149.0,2063.19,716.7814000002109,3.999,3.431,4592.311999999918,5552.31,8806.03,964,146.000007629395,-19.94942,3.4572809,25.617146,Fresh
150.0,2060.94,715.2000000001863,3.999,3.432,4586.344000000507,5552.34,8776.62,963,147.0,-19.964693,3.458533,25.624775,Fresh
151.0,2058.47,716.9922500001267,3.999,3.433,4574.311999999918,5516.31,8743.38,962,148.0,-19.939238,3.4596851,25.544619,Fresh
152.0,2056.81,713.6000000000931,3.998,3.433,4573.143999999389,5516.34,8739.5,961,149.0,-19.937541,3.4611878,25.678228,Fresh
153.0,2056.25,713.6000000000931,3.999,3.433,4565.913000000175,5516.31,8781.31,960,150.0,-19.971482,3.4625404,25.609516,Fresh
154.0,2054.41,713.6000000000931,3.998,3.434,4562.375,5516.38,8763.88,959,151.0,-19.94942,3.4638426,25.704931,Fresh
155.0,2052.81,711.6000000000931,3.998,3.434,4558.74300000025,5516.34,8734.62,958,152.000007629395,-19.912086,3.4651451,25.903416,Fresh
156.0,2051.94,711.6000000000931,3.998,3.435,4551.512000000104,5516.31,8772.62,957,152.999992370605,-19.95451,3.4666476,25.7164,Fresh
157.0,2050.28,712.0,3.998,3.435,4550.406000000425,5516.41,8748.69,956,154.0,-19.944328,3.4674993,25.720215,Fresh
158.0,2049.09,708.0,3.998,3.435,4544.25,5480.25,8772.62,955,155.0,-19.979967,3.469002,25.632429,Fresh
159.0,2047.5,708.0,3.998,3.435,4544.375,5480.38,8766.19,954,156.0,-19.942631,3.470154,25.586628,Fresh
160.0,2045.5,706.3999999999069,3.997,3.437,4537.112999999896,5480.31,8747.12,953,157.0,-19.993541,3.4715567,25.544619,Fresh
161.0,2043.88,706.3999999999069,3.998,3.436,4532.313000000082,5480.31,8719.94,952,158.0,-19.952814,3.4732096,25.640059,Fresh
162.0,2043.88,696.0,4.007,3.691,4487.311999999918,5453.06,8809.94,951,159.0,-19.973178,3.4737606,25.708771,Fresh
163.0,2063.62,704.7999999998137,3.992,3.778,4422.047999999486,5408.45,8837.34,950,160.0,-19.969783,3.4752131,25.743103,Fresh
164.0,2063.94,709.6000000000931,3.994,3.437,4580.321000000462,5516.32,8844.64,949,161.000007629395,-19.896813,3.4759645,25.601887,Fresh
165.0,2060.42,705.6000000000931,3.994,3.437,4586.38300000038,5516.38,8830.3,948,162.0,-19.969783,3.4775674,25.720215,Fresh
166.0,2056.9,705.6000000000931,3.995,3.437,4574.382999999914,5516.38,8792.38,947,163.0,-19.959602,3.4787695,25.659132,Fresh
167.0,2054.37,705.6000000000931,3.995,3.437,4565.915999999736,5516.32,8818.78,946,164.0,-20.002027,3.4799716,25.762199,Fresh
168.0,2051.17,704.0,3.995,3.438,4556.339333333075,5516.32,8789.41,945,165.0,-19.918875,3.4812241,25.636244,Fresh
169.0,2047.81,702.0,3.995,3.438,4550.351999999955,5480.35,8762.31,944,166.0,-19.983359,3.4823761,25.567532,Fresh
170.0,2045.38,702.3999999999069,3.994,3.44,4537.151999999303,5480.35,8773.66,943,167.0,-19.951117,3.4835281,25.495005,Fresh
171.0,2042.37,698.3936000000685,3.994,3.441,4529.9590000002645,5480.36,8741.28,942,167.999992370605,-19.942631,3.4844799,25.52173,Fresh
172.0,2039.71,698.3999999999069,3.995,3.441,4522.7209999994375,5480.32,8740.1,941,169.0,-20.010512,3.4856319,25.506472,Fresh
173.0,2036.9,694.3999999999069,3.994,3.442,4514.319999999832,5444.32,8750.37,940,170.0,-19.962996,3.4870343,25.601887,Fresh
174.0,2035.27,694.7999999998137,3.995,3.442,4508.351999999955,5444.35,8747.84,939,171.0,-19.985057,3.487936,25.594257,Fresh
175.0,2033.47,694.7999999998137,3.994,3.443,4501.121000000276,5444.32,8731.49,938,172.0,-20.015602,3.4891882,25.811815,Fresh
176.0,2032.0,692.7999999998137,3.994,3.443,4493.972199999727,5444.34,8720.34,937,173.0,-19.935844,3.4906909,25.544619,Fresh
177.0,2030.14,692.7999999998137,3.995,3.443,4486.728000000119,5444.33,8684.33,936,174.0,-19.939238,3.4911418,25.636244,Fresh
178.0,2028.0,688.7999999998137,3.995,3.444,4484.375,5408.38,8706.36,935,175.0,-19.995238,3.4924943,25.624775,Fresh
179.0,2026.05,691.2000000001863,3.994,3.444,4478.25,5408.25,8705.12,934,176.000007629395,-19.988449,3.4935963,25.75457,Fresh
180.0,2024.38,687.2020666664466,3.994,3.444,4472.312000000384,5408.31,8708.16,933,176.999992370605,-19.97827,3.4951992,25.678228,Fresh
181.0,2022.75,689.6000000000931,3.994,3.445,4460.344000000507,5408.34,8713.08,932,178.0,-19.971482,3.4961007,25.52936,Fresh
182.0,2020.77,687.6000000000931,3.994,3.445,4454.328000000212,5408.33,8698.22,931,179.0,-19.971482,3.4968021,25.601887,Fresh
183.0,2020.39,686.992249999661,3.995,3.445,4450.743999999482,5408.34,8709.16,930,180.0,-19.957904,3.4983046,25.632429,Fresh
184.0,2018.94,687.6000000000931,3.994,3.445,4448.35999999987,5408.36,8701.61,929,181.0,-19.947725,3.4992063,25.678228,Fresh
185.0,2018.08,685.6000000000931,3.994,3.446,4443.558999999892,5372.36,8710.62,928,182.0,-19.920572,3.5004084,25.624775,Fresh
186.0,2017.06,676.813000000082,4.003,3.697,4389.343999999575,5355.0,8766.66,927,182.999992370605,-19.95451,3.5014102,25.727844,Fresh
187.0,2016.22,676.0,3.989,3.773,4370.343000000343,5336.34,8762.41,926,184.0,-19.993541,3.5026124,25.52936,Fresh
188.0,2021.81,685.0,3.993,3.451,4436.343999999575,5372.34,8703.72,925,185.000007629395,-19.979967,3.5036643,25.506472,Fresh
189.0,2020.78,685.6000000000931,3.994,3.447,4454.375,5408.38,8719.75,924,186.0,-19.959602,3.5045159,25.712585,Fresh
190.0,2018.25,684.0,3.993,3.446,4448.375,5372.38,8714.94,923,187.0,-19.961299,3.505718,25.598072,Fresh
191.0,2016.12,686.3999999999069,3.993,3.446,4442.343999999575,5372.34,8699.53,922,188.0,-19.917178,3.5069704,25.643873,Fresh
192.0,2014.19,682.3855333332904,3.993,3.447,4436.343000000343,5372.34,8691.94,921,189.0,-19.925662,3.5077217,25.43013,Fresh
193.0,2012.34,680.3999999999069,3.993,3.448,4429.174999999814,5372.38,8698.09,920,190.0,-20.035965,3.5091743,25.552273,Fresh
194.0,2010.22,680.7999999998137,3.993,3.448,4421.943000000436,5372.34,8691.31,919,191.000007629395,-19.908693,3.5102763,25.533175,Fresh
195.0,2008.03,676.7999999998137,3.993,3.448,4414.774999999907,5372.38,8680.53,918,191.999992370605,-19.951117,3.5105767,25.514101,Fresh
196.0,2006.38,676.7999999998137,3.993,3.449,4412.311999999918,5336.31,8661.19,917,193.0,-19.986754,3.5123801,25.575161,Fresh
